A,Y,W,Z,X_race,X_sex,X_faminc_2000
12.0,10.691944912900398,10.373491181781864,10.0,2,1,
12.0,10.388995368317829,10.126631103850338,11.0,2,2,37000.0
12.0,10.341742483467284,10.46310334047155,12.0,2,2,89500.0
13.0,10.819778284410283,9.95227771670556,14.0,3,1,87200.0
12.0,9.798127036878302,9.903487552536127,14.0,2,1,17000.0
16.0,11.06663836234181,10.491274217438248,2.0,3,2,71600.0
12.0,9.852194258148577,10.239959789157341,12.0,3,2,27900.0
7.0,8.411832675758411,6.551080335043404,11.0,3,1,
13.0,9.104979856318357,10.239959789157341,12.0,3,2,38000.0
16.0,12.002474335450016,10.596634733096073,16.0,3,1,123500.0
12.0,10.106428396532818,10.203592144986466,13.0,3,1,57500.0
14.0,9.711115659888671,10.621327345686446,12.0,3,2,
10.0,10.46310334047155,9.615805480084347,12.0,3,1,
12.0,10.308952660644293,9.615805480084347,12.0,3,1,107000.0
13.0,9.392661928770137,10.085809109330082,11.0,3,2,
19.0,11.002099841204238,9.210340371976184,18.0,3,1,80000.0
20.0,9.615805480084347,10.308952660644293,20.0,3,2,84300.0
12.0,10.858998997563564,9.104979856318357,12.0,3,1,49200.0
12.0,7.3777589082278725,10.51867319162636,10.0,3,2,9000.0
14.0,10.571316925111784,10.545341438708522,12.0,3,2,83040.0
12.0,9.392661928770137,9.392661928770137,12.0,3,1,35000.0
12.0,10.51867319162636,9.740968623038354,1.0,3,1,66000.0
12.0,11.082142548877775,9.210340371976184,8.0,3,1,63000.0
12.0,9.305650551780507,10.896739325546411,12.0,3,2,76000.0
13.0,10.003332887505843,8.987196820661973,4.0,3,2,46714.0
16.0,10.668955394675699,10.714417768752456,16.0,3,2,93200.0
12.0,10.46310334047155,10.126631103850338,12.0,3,1,52000.0
12.0,8.006367567650246,11.350406535472453,12.0,3,2,75000.0
14.0,9.95227771670556,10.985292722887856,16.0,3,1,89100.0
16.0,7.832014180505469,10.837028637816811,17.0,3,2,60000.0
12.0,9.655026193237628,10.308952660644293,0.0,3,2,
16.0,8.922658299524402,10.491274217438248,14.0,3,2,47060.0
17.0,10.308952660644293,10.46310334047155,12.0,3,2,
20.0,9.615805480084347,12.195608082482291,20.0,3,2,
18.0,10.51867319162636,11.156250521031495,14.0,3,2,
18.0,10.505067539570582,10.645424897265505,18.0,3,2,83000.0
14.0,10.915088464214607,10.165851817003619,14.0,3,1,84150.0
12.0,9.95227771670556,11.512925464970229,7.0,3,2,
16.0,10.87804719253426,8.517193191416238,16.0,3,1,71500.0
12.0,8.987196820661973,10.915088464214607,12.0,3,2,86020.0
11.0,9.472704636443673,10.950806546816688,11.0,3,2,50000.0
12.0,9.392661928770137,9.047821442478408,12.0,3,1,34000.0
12.0,11.326595886778735,9.137769679141348,13.0,3,1,96000.0
18.0,10.42821608147111,10.668955394675699,17.0,3,1,
19.0,11.082142548877775,11.082142548877775,16.0,3,1,75580.0
12.0,8.85366542803745,10.645424897265505,12.0,3,2,12000.0
12.0,11.461632170582678,11.225243392518447,16.0,3,1,140500.0
14.0,10.308952660644293,10.203592144986466,12.0,3,2,78700.0
14.0,10.819778284410283,9.903487552536127,12.0,3,1,93000.0
12.0,10.596634733096073,10.308952660644293,12.0,3,2,65000.0
13.0,10.388995368317829,10.308952660644293,14.0,3,1,1888.0
15.0,10.373491181781864,10.596634733096073,12.0,3,2,
12.0,9.903487552536127,10.915088464214607,11.0,3,2,93200.0
19.0,10.457372665762566,11.002099841204238,20.0,3,2,
12.0,9.615805480084347,11.002099841204238,12.0,3,2,115500.0
14.0,9.392661928770137,10.239959789157341,12.0,3,2,46000.0
12.0,10.46310334047155,10.621327345686446,18.0,3,1,24100.0
14.0,10.645424897265505,12.195608082482291,14.0,2,1,
12.0,10.46310334047155,9.615805480084347,12.0,2,1,
16.0,10.858998997563564,9.680344001221918,14.0,2,1,75000.0
15.0,8.699514748210191,10.308952660644293,16.0,2,2,
13.0,10.335269968961667,11.03488966402723,12.0,3,2,40000.0
10.0,8.517193191416238,9.560997243589352,10.0,3,2,3540.0
12.0,11.48246625748552,10.714417768752456,12.0,3,1,92000.0
12.0,10.203592144986466,9.210340371976184,11.0,3,2,68000.0
11.0,10.545341438708522,10.896739325546411,12.0,3,1,92000.0
12.0,10.126631103850338,10.645424897265505,12.0,3,1,72000.0
12.0,10.165851817003619,11.156250521031495,14.0,3,2,10200.0
16.0,11.461632170582678,10.308952660644293,13.0,3,1,166000.0
17.0,9.392661928770137,10.933106969717286,16.0,3,2,88600.0
16.0,10.858998997563564,9.998797732340453,18.0,3,1,65000.0
20.0,10.645424897265505,10.126631103850338,16.0,3,1,79500.0
16.0,10.915088464214607,10.126631103850338,12.0,3,1,90000.0
17.0,10.915088464214607,9.798127036878302,15.0,3,1,65000.0
19.0,10.46310334047155,7.495541943884256,13.0,3,1,40800.0
18.0,6.214608098422191,10.915088464214607,18.0,3,2,50200.0
18.0,10.308952660644293,10.126631103850338,17.0,3,1,
9.0,9.412464556066316,9.998797732340453,8.0,3,2,
12.0,6.1092475827643655,9.797682493639151,12.0,3,1,
12.0,9.797682493639151,6.1092475827643655,12.0,3,2,
12.0,11.03488966402723,7.600902459542082,12.0,2,1,77000.0
16.0,10.819778284410283,10.87804719253426,16.0,3,1,53000.0
15.0,9.798127036878302,11.211820372186306,14.0,3,2,107000.0
16.0,9.305650551780507,11.002099841204238,15.0,3,2,90000.0
16.0,10.849337086651827,10.778956289890028,12.0,3,2,52000.0
12.0,10.985292722887856,9.680344001221918,12.0,3,1,61000.0
19.0,10.645424897265505,10.736396675471232,6.0,1,2,89000.0
11.0,8.85366542803745,10.51867319162636,12.0,3,2,42050.0
12.0,10.4341158035983,8.909235279192261,12.0,3,1,73000.0
15.0,10.060491301345794,10.714417768752456,15.0,2,2,
17.0,10.239959789157341,9.95227771670556,13.0,2,1,56000.0
12.0,9.998797732340453,9.472704636443673,12.0,2,1,
12.0,10.419300717813158,8.006367567650246,12.0,3,2,27000.0
8.0,9.903487552536127,8.699514748210191,6.0,3,1,26000.0
8.0,10.085809109330082,8.612503371220562,11.0,3,1,42800.0
12.0,8.779557455883728,10.933106969717286,12.0,3,2,67500.0
12.0,9.903487552536127,10.239959789157341,15.0,3,1,56000.0
12.0,10.043249494911286,10.714417768752456,12.0,3,2,75200.0
12.0,10.373491181781864,10.308952660644293,12.0,3,1,72000.0
20.0,12.002474335450016,10.373491181781864,16.0,3,1,
16.0,11.385092093460344,9.903487552536127,16.0,3,1,140000.0
17.0,11.308358299228955,9.392661928770137,16.0,3,1,122500.0
16.0,10.491274217438248,10.491274217438248,16.0,3,2,83000.0
16.0,10.4341158035983,11.385092093460344,20.0,3,2,146960.0
12.0,10.714417768752456,9.903487552536127,12.0,3,1,45000.0
14.0,10.596634733096073,10.4341158035983,12.0,3,1,69000.0
14.0,6.1092475827643655,11.082142548877775,16.0,3,2,74150.0
12.0,9.392661928770137,8.987196820661973,12.0,3,2,26110.0
17.0,10.404262840448617,10.915088464214607,18.0,3,2,
14.0,10.596634733096073,10.51867319162636,16.0,3,1,75000.0
16.0,10.668955394675699,11.407564949312402,19.0,3,2,175000.0
12.0,10.126631103850338,10.308952660644293,14.0,2,1,72000.0
12.0,9.852194258148577,9.903487552536127,12.0,2,1,
12.0,10.532096211958502,10.203592144986466,14.0,3,1,74300.0
10.0,8.699514748210191,9.998797732340453,12.0,3,2,
9.0,9.210340371976184,7.090076835776092,0.0,3,1,20000.0
12.0,5.953243334287785,10.126631103850338,16.0,3,1,27520.0
13.0,11.018629143155449,10.043249494911286,12.0,3,2,75000.0
14.0,10.714417768752456,9.210340371976184,12.0,3,1,42500.0
13.0,10.239959789157341,10.915088464214607,18.0,3,2,95000.0
12.0,10.126631103850338,10.126631103850338,0.0,3,1,74000.0
12.0,10.596634733096073,9.998797732340453,12.0,3,1,65200.0
12.0,10.239959789157341,8.006367567650246,11.0,3,1,28000.0
11.0,10.668955394675699,9.210340371976184,12.0,3,1,47000.0
12.0,9.998797732340453,10.085809109330082,12.0,3,2,62000.0
20.0,10.933106969717286,10.545341438708522,16.0,3,1,139000.0
15.0,10.491274217438248,10.085809109330082,12.0,3,2,
12.0,10.442900633154032,9.740968623038354,12.0,3,1,40400.0
12.0,10.1226230824528,9.852194258148577,4.0,3,1,48040.0
12.0,12.002474335450016,10.308952660644293,12.0,3,1,
12.0,12.002474335450016,9.472704636443673,12.0,3,1,60000.0
12.0,9.392661928770137,10.896739325546411,12.0,3,2,86000.0
12.0,9.210340371976184,11.33857207782545,5.0,3,2,100000.0
14.0,9.648595302907339,12.195608082482291,8.0,3,2,142892.0
17.0,11.314474526246391,12.195608082482291,17.0,3,1,332808.0
13.0,9.392661928770137,9.472704636443673,11.0,3,2,60020.0
13.0,9.998797732340453,9.998797732340453,12.0,3,2,62000.0
19.0,11.184421397998193,11.141861783579396,3.0,3,2,180240.0
12.0,10.691944912900398,10.691944912900398,14.0,2,1,94000.0
12.0,10.491274217438248,9.392661928770137,9.0,1,2,69000.0
13.0,9.210340371976184,10.858998997563564,10.0,2,2,9002.0
15.0,10.043249494911286,6.214608098422191,11.0,3,2,21200.0
12.0,10.491274217438248,8.006367567650246,10.0,1,1,77000.0
14.0,7.783224016336037,9.903487552536127,6.0,1,2,14000.0
12.0,10.203592144986466,10.950806546816688,0.0,3,1,86020.0
12.0,9.546812608597396,11.156250521031495,12.0,3,2,108000.0
11.0,8.160518247477505,10.126631103850338,6.0,3,2,14000.0
16.0,7.783224016336037,11.289781913656018,16.0,3,2,89000.0
16.0,10.915088464214607,9.305650551780507,1.0,3,1,71400.0
16.0,10.596634733096073,10.51867319162636,19.0,3,1,
12.0,10.571316925111784,9.392661928770137,12.0,3,1,55000.0
14.0,10.46310334047155,10.596634733096073,12.0,3,1,70000.0
12.0,10.757902880692196,10.757902880692196,12.0,3,2,112800.0
16.0,11.082142548877775,9.615805480084347,16.0,3,1,100000.0
16.0,11.03488966402723,11.097410021008562,16.0,3,2,332808.0
20.0,10.126631103850338,8.476371196895983,12.0,3,1,33550.0
16.0,10.858998997563564,10.778956289890028,14.0,3,2,127800.0
12.0,8.987196820661973,10.819778284410283,14.0,3,1,92000.0
17.0,10.915088464214607,8.85366542803745,3.0,3,1,65000.0
19.0,10.596634733096073,10.950806546816688,3.0,3,2,70050.0
12.0,9.998797732340453,10.46310334047155,12.0,2,2,38000.0
13.0,8.977146484808472,9.392661928770137,12.0,2,1,2580.0
13.0,10.46310334047155,10.933106969717286,6.0,2,2,91000.0
15.0,9.740968623038354,10.596634733096073,15.0,2,2,43000.0
16.0,10.714417768752456,10.308952660644293,14.0,2,1,53900.0
12.0,10.46310334047155,9.825526011066415,10.0,3,1,52500.0
12.0,8.424419791263883,10.668955394675699,12.0,3,2,54000.0
13.0,10.043249494911286,10.46310334047155,15.0,3,2,
12.0,10.645424897265505,10.203592144986466,12.0,3,1,68000.0
